Random,-399.38153076171875,87.30354103373436
PPO,-399.26971435546875,87.35249756021788
PPO_ICM,-399.3291015625,87.32649107388933
PPO_VIME,-390.9605407714844,88.17608968166144
PPO_MAX_1,-391.0045166015625,88.15780439232599
PPO_GP_1,-399.314453125,87.33289759861998
PPO_DKL_1,-399.32257080078125,87.32935398962833
PPO_MAX,-307.56280517578125,88.2082357541902
PPO_GP,-152.99014282226562,21.611151562714987
PPO_DKL,-169.94056701660156,19.74490755155024
Random,-399.38153076171875,87.30354103373436
PPO,-399.26971435546875,87.35249756021788
PPO_ICM,-399.3291015625,87.32649107388933
PPO_VIME,-390.9605407714844,88.17608968166144
PPO_MAX_1,-391.0045166015625,88.15780439232599
PPO_GP_1,-399.314453125,87.33289759861998
PPO_DKL_1,-399.32257080078125,87.32935398962833
PPO_MAX,-307.56280517578125,88.2082357541902
PPO_GP,-152.99014282226562,21.611151562714987
PPO_DKL,-169.94056701660156,19.74490755155024
Random,-399.38153076171875,87.30354103373436
PPO,-399.26971435546875,87.35249756021788
PPO_ICM,-399.3291015625,87.32649107388933
PPO_VIME,-390.9605407714844,88.17608968166144
PPO_MAX_1,-391.0045166015625,88.15780439232599
PPO_GP_1,-399.314453125,87.33289759861998
PPO_DKL_1,-399.32257080078125,87.32935398962833
PPO_MAX,-307.56280517578125,88.2082357541902
PPO_GP,-152.99014282226562,21.611151562714987
PPO_DKL,-169.94056701660156,19.74490755155024
